title,year,rating,description,genres
More Than Football,2025,10.0,"As a result of another outrage by fans of the England national team, which escalated into multi-day clashes, the leadership of European football disqualifies the English from the European Football Cup. Instead, the Russian team enters the final stage. The Russian Football Federation has only two weeks to assemble a team. Head coach Sorokin and his assistant Mikhalych invite to the team the football players who have today become ""downed pilots"": forwards Matveev and Sanaev are under investigation for a fight, defender Bushagov, after a loud scandal, is divorcing his wife, who demands huge alimony, young forward Kizyakov because of of his character sits on a bench and so on. They all lost the opportunity to play, earn big money, be idols and real stars. But Sorokin's plan - to give them a chance to return to their former life - does not work: the new team cannot work together, each player pursues his own goals, and therefore they do not form a team.",
Not Very Nice: La ligue des justiciers,2018,10.0,,
Las coordenadas exactas,2025,10.0,,
Babyteeth,2025,10.0,A young boy with an unusual way of raising money.,
Ghosting,2024,10.0,,
The Blast of the Book,1990,10.0,"Spiritual medium Openshaw is so removed from real life that he confuses a military alarm with a signal from the other world. Father Brown returns the professor to reality and the problems of modern life.  Based on the ""The Blast of the Book"" short story  from ""The Scandal of Father Brown"" stories collection, written in 1935 by Gilbert K. Chesterton.",
La primera máquina del tiempo,2024,10.0,,
Metanoia,2024,10.0,,
Teen of Steal,2024,10.0,Troubled teen Robert Steele Holmes is forcefully recruited by the deadly Buff Gang and made to perform a high risk initiation ritual.,
The Cooking Show,2024,10.0,A stop-motion culinary show goes off the rails when the ingredients start talking back.,
Ramat Yisahi's Tiger,2025,10.0,"Ariel Dukeman is a teenage boy on his way to fight his first thai boxing tournament.  With a lot of hard training and the help of his friends, he just might become... Ramat Yishai's Tiger.",
SPIRIT – A Symphony of Chaos,2025,10.0,"Three parallel stories depict the everyday insanity of the German capital, between motion and gridlock, the ticking clock and money trouble.",
Le Roi Pognon,2012,10.0,"Jean-Luc and Stéphane are two dynamic and unscrupulous young bank executives. They leave their office on a Friday evening, determined to enjoy the weekend. After stopping by their dealer's place, they head into the Lausanne night, ready to meet the most unusual people, convinced that money opens all doors and that nothing can stand in their way.",
"Plata, Plomo y la Pasta",2024,10.0,"Follow Tony Ruggeri, host of the podcast ""São Paulo: Crime and Punishment"", as he narrates the story of Paulinho Zanini, a resident of the Bixiga neighborhood in São Paulo who splits his time between the restaurant La Cantina and the criminal underworld, where he works as a loan shark. Alongside his partners, Robério Santos and Tavinho D'Angelo, as well as the loyal waiter Vicentão, he finds himself in the most unexpected situations across the São Paulo capital.",
Being Friends with a Rock,2025,10.0,"A deeply disturbing and gripping film about an unhinged 40 year old man's friend getting kidnapped and killed. Some say this will be the best revenge story yet?  PG-18 - strong language, strong violence, strong awesomeness",
Telecau Beach Movie,2025,10.0,,
100 Reais,2025,10.0,,
Bobo & Bibi in Miami,2025,10.0,"In this uplifting animated romcom, sloth DJ couple Bobo and Bibi travel to Miami to headline the Beach Sloth Festival. But between airport mishaps, sunset rituals, and a series of socially awkward moments, nerves start to creep in. With love, humor, and just the right touch of chaos, Bobo & Bibi in Miami is a hilarious, feel-good, and deeply relatable story that celebrates the kind of love that’s thoughtful, playful, and always shows up, especially when you need it most.",
Call of the Vulture,2025,10.0,"Renowned model and activist ""Angel Harris"" finally comes to terms with her treacherous, haunting past in this time-skipping, genre-bending comedy-drama.",
13 en tête,2023,10.0,,
Je suis pas le monde,2024,10.0,,
Life Party,2025,10.0,,
The Feelings That Jack Experienced,2021,10.0,"The most ordinary life of the most ordinary Jack, including entertainment, is scheduled down to the minute and driven into the framework of routine. He has no thoughts of his own, no personal life, he is no different from others. The Voice in his head comments on his every step, urging, scolding, encouraging and even interfering with his feelings. But one day, Jack realizes that the Voice completely controls his life, and begins to fight against it.",
CROSS X DIMENSIONAL,2023,10.0,Characters from three separate universes collide and fight due to an evil presence manipulating from behind the scenes. Featuring a fun combination of different animation styles!,
"Our Hero, Balthazar",2025,10.0,A wealthy teenager from New York City tries to win over his activist crush by traveling to Texas and befriending a would-be mass shooter.,
How to Operate a 35mm Film Camera,2025,10.0,A parody PSA discussing the inner workings of film photography and how to become a master photographer.,
Souvenirs d'un temps passé,2025,10.0,,
Wilma will mehr,2025,10.0,"Wilma has many qualifications and talents, yet suffers just as many disappointments in life. After she catches her husband cheating, she runs away to Vienna in search of a new life. There she lives with bustling bohemians, tries her luck at a variety of jobs and perhaps... at love again.",
Suburbia,2022,10.0,"A budding rapper, Kid Fresh, and his best friend go on a journey to get the rarest hot chips.",
Buzzkill,2025,10.0,"When two friends stumble upon a drunken frat guy at a Halloween party, their wild night spirals into chaos.",
Renato Gaucho e o Homem das Calças Erguidas,2022,10.0,,
Renato Gaúcho e o Homem das Calças Erguidas,2022,10.0,,
Love & Tambourines,2009,10.0,"A documentary-ish exploration of love, music and the space in between, through the lens of two friends spending Valentine's Day together.",
Mihai Bobonete: Life advice,2025,10.0,"Discover the unmistakable humor in ""Life Tips"" with Mihai Bobonete! A stand-up show full of irony and humor about everyday life and its absurdities.",
The Freakening,2024,10.0,"On a normal weekend, on Lake Freakydota, four friends go fishing in the middle of nowhere. What could go wrong? What could go FREAKY...",
Waiter Boys,2025,10.0,"Reports of a strange orange syrup like substance are appearing all around the city. Emerging from the background of past events, these underdog FBI agents are forced to go undercover... again. Do they have what it takes to take the steps to get past all the extra work and get to the bottom of the pickle jar the city is being held under?",
Hermes Trismegisto,2025,10.0,A foreigner searchs for Hermes Trismegisto in order to become its pupil.,
7 Days,2025,10.0,"It is the story of seven days in the life of the 70-year-old Peter who learns that he has lung sarcoma and that there is a faint hope that in a week the diagnosis may be ruled out by a medical luminary from Moscow. Peter spends the seven days summing up the results of his life which he considers worthless, in which he could not start a family, earn money, save his reputation. But time and again the events in which he becomes involved and which are filled with smiles, sadness, human destinies, let the viewer realize that the protagonist’s life is far from worthless.",
"Now, I Am A Bear",2025,10.0,A disillusioned man makes the very normal and logical choice to abandon human society and become a bear.,
The Assassination of Tony Calzone,2025,10.0,"Two assassins for hire meet up to discuss the killing of their target, an Italian crime boss, but things don't go smoothly.",
The Frame,2025,10.0,"Eva and Halldór’s mother has stopped speaking since falling ill. Eva has been taking care of her with the help of nurse Védís, but when Halldór visits, the household balance is disrupted with unforeseen consequences.",
